"school_recordid","year_numeric","disability","total_male_disability","total_female_disability","total_disability"
"28","2015","Hearing","0","1","1"
"62","2015","Hearing","0","1","1"
"168","2015","Hearing","1","1","2"
"77","2015","Hearing","1","0","1"
"5","2015","Hearing","1","0","1"
"3","2015","Hearing","2","0","2"
"72","2015","Hearing","1","1","2"
"35","2015","Hearing","1","1","2"
"78","2015","Hearing","0","1","1"
"64","2015","Hearing","0","1","1"
"271","2015","Hearing","2","0","2"
"82","2015","Hearing","0","1","1"
"75","2015","Hearing","1","0","1"
"63","2015","Hearing","1","0","1"
"149","2015","Hearing","0","1","1"
"74","2015","Hearing","2","1","3"
"196","2015","Hearing","1","0","1"
"79","2015","Hearing","1","1","2"
"338","2015","Hearing","0","2","2"
"159","2015","Hearing","1","0","1"
"66","2015","Hearing","1","1","2"
"85","2015","Hearing","1","0","1"
"172","2015","Hearing","1","0","1"
"71","2015","Hearing","1","1","2"
"279","2015","Hearing","1","3","4"
"89","2015","Hearing","0","1","1"
"472","2015","Hearing","1","1","2"
"157","2015","Hearing","0","1","1"
"123","2015","Hearing","1","2","3"
"67","2015","Hearing","2","0","2"
"181","2015","Hearing","0","1","1"
"106","2015","Hearing","3","7","10"
"280","2015","Hearing","1","0","1"
"145","2015","Hearing","1","1","2"
"555","2015","Hearing","0","1","1"
"160","2015","Hearing","1","0","1"
"125","2015","Hearing","1","0","1"
"86","2015","Hearing","1","0","1"
"265","2015","Hearing","1","1","2"
"21","2015","Hearing","0","1","1"
"362","2015","Hearing","1","0","1"
"107","2015","Hearing","0","1","1"
"603","2015","Hearing","1","0","1"
"180","2015","Hearing","0","1","1"
"182","2015","Hearing","1","0","1"
"122","2015","Hearing","3","2","5"
"281","2015","Hearing","0","1","1"
"133","2015","Hearing","0","1","1"
"328","2015","Hearing","0","1","1"
"162","2015","Hearing","0","1","1"
"604","2015","Hearing","0","1","1"
"262","2015","Hearing","0","1","1"
"200","2015","Hearing","0","1","1"
"68","2015","Hearing","1","1","2"
"292","2015","Hearing","3","0","3"
"138","2015","Hearing","1","0","1"
"343","2015","Hearing","1","0","1"
"191","2015","Hearing","0","1","1"
"688","2015","Hearing","1","0","1"
"132","2015","Hearing","0","1","1"
"232","2015","Hearing","0","1","1"
"256","2015","Hearing","1","0","1"
"351","2015","Hearing","1","0","1"
"258","2015","Hearing","2","0","2"
"346","2015","Hearing","1","0","1"
"277","2015","Hearing","0","1","1"
"569","2015","Hearing","1","0","1"
"263","2015","Hearing","0","1","1"
"264","2015","Hearing","1","0","1"
"186","2015","Hearing","0","2","2"
"533","2015","Hearing","0","1","1"
"171","2015","Hearing","0","2","2"
"446","2015","Hearing","1","2","3"
"273","2015","Hearing","0","1","1"
"805","2015","Hearing","1","0","1"
"234","2015","Hearing","0","1","1"
"266","2015","Hearing","1","0","1"
"272","2015","Hearing","1","1","2"
"551","2015","Hearing","1","0","1"
"290","2015","Hearing","1","0","1"
"546","2015","Hearing","0","1","1"
"296","2015","Hearing","1","0","1"
"871","2015","Hearing","1","1","2"
"276","2015","Hearing","1","0","1"
"284","2015","Hearing","4","3","7"
"253","2015","Hearing","1","0","1"
"567","2015","Hearing","1","0","1"
"185","2015","Hearing","1","1","2"
"811","2015","Hearing","1","0","1"
"291","2015","Hearing","0","1","1"
"904","2015","Hearing","3","0","3"
"259","2015","Hearing","1","0","1"
"416","2015","Hearing","1","0","1"
"274","2015","Hearing","0","1","1"
"683","2015","Hearing","0","1","1"
"349","2015","Hearing","1","0","1"
"814","2015","Hearing","1","0","1"
"393","2015","Hearing","1","1","2"
"955","2015","Hearing","0","1","1"
"293","2015","Hearing","0","1","1"
"418","2015","Hearing","0","1","1"
"255","2015","Hearing","0","1","1"
"735","2015","Hearing","0","1","1"
"269","2015","Hearing","0","2","2"
"830","2015","Hearing","0","1","1"
"375","2015","Hearing","2","2","4"
"971","2015","Hearing","0","1","1"
"289","2015","Hearing","1","0","1"
"434","2015","Hearing","0","1","1"
"449","2015","Hearing","1","0","1"
"633","2015","Hearing","2","1","3"
"415","2015","Hearing","1","1","2"
"862","2015","Hearing","1","0","1"
"394","2015","Hearing","0","1","1"
"1020","2015","Hearing","2","0","2"
"378","2015","Hearing","1","0","1"
"332","2015","Hearing","1","1","2"
"268","2015","Hearing","1","0","1"
"826","2015","Hearing","1","0","1"
"287","2015","Hearing","1","1","2"
"878","2015","Hearing","0","3","3"
"423","2015","Hearing","0","2","2"
"1056","2015","Hearing","0","2","2"
"334","2015","Hearing","2","1","3"
"750","2015","Hearing","0","1","1"
"458","2015","Hearing","1","0","1"
"874","2015","Hearing","1","0","1"
"431","2015","Hearing","0","2","2"
"879","2015","Hearing","1","1","2"
"396","2015","Hearing","3","1","4"
"1072","2015","Hearing","1","0","1"
"410","2015","Hearing","0","1","1"
"791","2015","Hearing","2","0","2"
"286","2015","Hearing","1","0","1"
"933","2015","Hearing","0","1","1"
"436","2015","Hearing","1","1","2"
"895","2015","Hearing","1","0","1"
"443","2015","Hearing","0","1","1"
"1190","2015","Hearing","1","0","1"
"364","2015","Hearing","1","2","3"
"818","2015","Hearing","0","1","1"
"624","2015","Hearing","0","1","1"
"919","2015","Hearing","0","1","1"
"483","2015","Hearing","0","1","1"
"1030","2015","Hearing","1","0","1"
"413","2015","Hearing","0","1","1"
"1221","2015","Hearing","2","0","2"
"360","2015","Hearing","3","1","4"
"850","2015","Hearing","0","1","1"
"369","2015","Hearing","0","1","1"
"1108","2015","Hearing","1","0","1"
"454","2015","Hearing","1","1","2"
"1081","2015","Hearing","0","2","2"
"582","2015","Hearing","1","0","1"
"1241","2015","Hearing","1","0","1"
"464","2015","Hearing","0","1","1"
"832","2015","Hearing","0","1","1"
"733","2015","Hearing","0","1","1"
"1367","2015","Hearing","0","4","4"
"531","2015","Hearing","1","0","1"
"1095","2015","Hearing","0","1","1"
"444","2015","Hearing","0","1","1"
"1356","2015","Hearing","3","0","3"
"361","2015","Hearing","1","0","1"
"911","2015","Hearing","1","2","3"
"385","2015","Hearing","1","0","1"
"1376","2015","Hearing","0","1","1"
"539","2015","Hearing","1","0","1"
"1113","2015","Hearing","1","0","1"
"702","2015","Hearing","0","1","1"
"1372","2015","Hearing","5","3","8"
"493","2015","Hearing","1","0","1"
"927","2015","Hearing","0","1","1"
"794","2015","Hearing","0","1","1"
"1394","2015","Hearing","0","1","1"
"535","2015","Hearing","0","1","1"
"1114","2015","Hearing","1","0","1"
"511","2015","Hearing","0","1","1"
"1390","2015","Hearing","2","0","2"
"595","2015","Hearing","0","1","1"
"936","2015","Hearing","2","2","4"
"387","2015","Hearing","2","1","3"
"1403","2015","Hearing","0","2","2"
"855","2015","Hearing","3","1","4"
"1182","2015","Hearing","0","1","1"
"707","2015","Hearing","4","0","4"
"1423","2015","Hearing","1","0","1"
"559","2015","Hearing","0","1","1"
"959","2015","Hearing","1","0","1"
"801","2015","Hearing","0","2","2"
"1412","2015","Hearing","0","1","1"
"558","2015","Hearing","0","1","1"
"1197","2015","Hearing","0","1","1"
"544","2015","Hearing","3","0","3"
"1439","2015","Hearing","1","0","1"
"695","2015","Hearing","1","0","1"
"1002","2015","Hearing","0","1","1"
"453","2015","Hearing","1","0","1"
"1426","2015","Hearing","0","1","1"
"872","2015","Hearing","1","0","1"
"1264","2015","Hearing","1","0","1"
"759","2015","Hearing","0","1","1"
"1457","2015","Hearing","1","0","1"
"541","2015","Hearing","0","2","2"
"1059","2015","Hearing","0","1","1"
"819","2015","Hearing","1","2","3"
"1442","2015","Hearing","0","2","2"
"560","2015","Hearing","0","4","4"
"1330","2015","Hearing","1","4","5"
"547","2015","Hearing","2","1","3"
"1489","2015","Hearing","1","0","1"
"730","2015","Hearing","0","1","1"
"1284","2015","Hearing","0","1","1"
"503","2015","Hearing","1","0","1"
"1467","2015","Hearing","0","1","1"
"888","2015","Hearing","1","0","1"
"1365","2015","Hearing","1","0","1"
"825","2015","Hearing","1","0","1"
"1506","2015","Hearing","1","0","1"
"682","2015","Hearing","0","1","1"
"1325","2015","Hearing","0","1","1"
"876","2015","Hearing","0","1","1"
"1478","2015","Hearing","0","2","2"
"858","2015","Hearing","1","0","1"
"1366","2015","Hearing","2","2","4"
"630","2015","Hearing","0","1","1"
"1588","2015","Hearing","0","1","1"
"747","2015","Hearing","1","0","1"
"1545","2015","Hearing","1","1","2"
"519","2015","Hearing","0","1","1"
"1492","2015","Hearing","0","1","1"
"921","2015","Hearing","1","0","1"
"1399","2015","Hearing","1","0","1"
"827","2015","Hearing","1","1","2"
"1707","2015","Hearing","0","1","1"
"841","2015","Hearing","0","1","1"
"1561","2015","Hearing","2","1","3"
"935","2015","Hearing","0","1","1"
"1517","2015","Hearing","1","0","1"
"885","2015","Hearing","0","1","1"
"1446","2015","Hearing","0","1","1"
"697","2015","Hearing","1","0","1"
"1722","2015","Hearing","1","0","1"
"880","2015","Hearing","1","0","1"
"1568","2015","Hearing","3","4","7"
"420","2015","Hearing","0","1","1"
"1601","2015","Hearing","2","1","3"
"988","2015","Hearing","1","1","2"
"1450","2015","Hearing","1","1","2"
"752","2015","Hearing","1","0","1"
"1724","2015","Hearing","2","0","2"
"852","2015","Hearing","1","0","1"
"1586","2015","Hearing","0","1","1"
"967","2015","Hearing","0","1","1"
"1621","2015","Hearing","2","0","2"
"892","2015","Hearing","0","1","1"
"1464","2015","Hearing","1","0","1"
"744","2015","Hearing","1","1","2"
"1806","2015","Hearing","0","1","1"
"963","2015","Hearing","1","0","1"
"1595","2015","Hearing","1","0","1"
"554","2015","Hearing","1","0","1"
"1628","2015","Hearing","1","2","3"
"989","2015","Hearing","2","1","3"
"1513","2015","Hearing","1","1","2"
"859","2015","Hearing","1","1","2"
"1841","2015","Hearing","1","2","3"
"891","2015","Hearing","1","1","2"
"1602","2015","Hearing","1","0","1"
"1008","2015","Hearing","0","1","1"
"1728","2015","Hearing","1","1","2"
"908","2015","Hearing","1","0","1"
"1547","2015","Hearing","1","0","1"
"796","2015","Hearing","0","1","1"
"1874","2015","Hearing","1","0","1"
"978","2015","Hearing","0","1","1"
"1609","2015","Hearing","3","0","3"
"622","2015","Hearing","1","0","1"
"1755","2015","Hearing","1","0","1"
"1173","2015","Hearing","2","0","2"
"1564","2015","Hearing","1","1","2"
"868","2015","Hearing","1","0","1"
"1907","2015","Hearing","0","1","1"
"1359","2015","Hearing","1","2","3"
"1620","2015","Hearing","3","0","3"
"1083","2015","Hearing","0","1","1"
"1769","2015","Hearing","2","0","2"
"983","2015","Hearing","1","1","2"
"1614","2015","Hearing","2","0","2"
"797","2015","Hearing","0","1","1"
"1924","2015","Hearing","0","1","1"
"1062","2015","Hearing","0","1","1"
"1627","2015","Hearing","1","0","1"
"637","2015","Hearing","1","0","1"
"1810","2015","Hearing","2","0","2"
"1187","2015","Hearing","0","1","1"
"1648","2015","Hearing","1","0","1"
"952","2015","Hearing","1","0","1"
"1941","2015","Hearing","5","0","5"
"1370","2015","Hearing","1","0","1"
"1727","2015","Hearing","1","0","1"
"1183","2015","Hearing","1","0","1"
"1837","2015","Hearing","3","7","10"
"1058","2015","Hearing","0","1","1"
"1650","2015","Hearing","1","2","3"
"831","2015","Hearing","1","1","2"
"2225","2015","Hearing","1","0","1"
"1282","2015","Hearing","1","0","1"
"1729","2015","Hearing","1","1","2"
"787","2015","Hearing","0","1","1"
"1894","2015","Hearing","1","1","2"
"1223","2015","Hearing","1","2","3"
"1747","2015","Hearing","2","1","3"
"1025","2015","Hearing","1","0","1"
"2294","2015","Hearing","5","2","7"
"1386","2015","Hearing","1","0","1"
"1738","2015","Hearing","1","0","1"
"1185","2015","Hearing","2","1","3"
"1896","2015","Hearing","1","0","1"
"1074","2015","Hearing","0","1","1"
"1749","2015","Hearing","1","0","1"
"915","2015","Hearing","0","1","1"
"2360","2015","Hearing","0","2","2"
"1249","2015","Hearing","0","1","1"
"1836","2015","Hearing","0","1","1"
"804","2015","Hearing","1","1","2"
"1930","2015","Hearing","1","0","1"
"1254","2015","Hearing","0","1","1"
"1797","2015","Hearing","0","1","1"
"1170","2015","Hearing","2","0","2"
"2374","2015","Hearing","5","11","16"
"1400","2015","Hearing","1","0","1"
"1893","2015","Hearing","0","1","1"
"1160","2015","Hearing","1","0","1"
"1969","2015","Hearing","2","8","10"
"1278","2015","Hearing","0","1","1"
"1798","2015","Hearing","2","0","2"
"929","2015","Hearing","3","0","3"
"2377","2015","Hearing","1","0","1"
"1380","2015","Hearing","1","0","1"
"1918","2015","Hearing","1","0","1"
"806","2015","Hearing","0","1","1"
"2112","2015","Hearing","0","2","2"
"1338","2015","Hearing","1","1","2"
"1832","2015","Hearing","1","0","1"
"1193","2015","Hearing","1","0","1"
"2392","2015","Hearing","0","1","1"
"1404","2015","Hearing","1","0","1"
"1922","2015","Hearing","4","0","4"
"1169","2015","Hearing","1","0","1"
"2119","2015","Hearing","1","0","1"
"1328","2015","Hearing","2","0","2"
"1850","2015","Hearing","20","31","51"
"946","2015","Hearing","0","1","1"
"2410","2015","Hearing","0","1","1"
"1465","2015","Hearing","1","0","1"
"1927","2015","Hearing","0","5","5"
"905","2015","Hearing","1","3","4"
"2128","2015","Hearing","1","0","1"
"1371","2015","Hearing","0","1","1"
"2133","2015","Hearing","0","5","5"
"1334","2015","Hearing","1","0","1"
"2424","2015","Hearing","0","1","1"
"1420","2015","Hearing","2","2","4"
"1947","2015","Hearing","8","2","10"
"1217","2015","Hearing","0","1","1"
"2146","2015","Hearing","1","0","1"
"1351","2015","Hearing","0","1","1"
"2166","2015","Hearing","1","4","5"
"995","2015","Hearing","1","0","1"
"2441","2015","Hearing","0","1","1"
"1532","2015","Hearing","2","0","2"
"2004","2015","Hearing","2","0","2"
"1122","2015","Hearing","1","0","1"
"2271","2015","Hearing","1","0","1"
"1522","2015","Hearing","2","3","5"
"2198","2015","Hearing","1","1","2"
"1379","2015","Hearing","1","0","1"
"2775","2015","Hearing","3","6","9"
"1434","2015","Hearing","2","2","4"
"2086","2015","Hearing","6","4","10"
"1326","2015","Hearing","2","0","2"
"2314","2015","Hearing","0","1","1"
"1353","2015","Hearing","1","0","1"
"2216","2015","Hearing","1","0","1"
"998","2015","Hearing","0","1","1"
"2777","2015","Hearing","2","0","2"
"1550","2015","Hearing","1","0","1"
"2172","2015","Hearing","3","4","7"
"1355","2015","Hearing","1","0","1"
"2323","2015","Hearing","1","1","2"
"1606","2015","Hearing","0","2","2"
"2235","2015","Hearing","1","0","1"
"1429","2015","Hearing","1","1","2"
"2812","2015","Hearing","1","4","5"
"1445","2015","Hearing","1","2","3"
"2272","2015","Hearing","3","0","3"
"1369","2015","Hearing","0","2","2"
"2328","2015","Hearing","1","0","1"
"1378","2015","Hearing","2","1","3"
"2284","2015","Hearing","1","0","1"
"1112","2015","Hearing","0","1","1"
"2825","2015","Hearing","2","2","4"
"1563","2015","Hearing","0","2","2"
"2413","2015","Hearing","0","1","1"
"1373","2015","Hearing","3","2","5"
"2348","2015","Hearing","2","0","2"
"1622","2015","Hearing","1","0","1"
"2350","2015","Hearing","0","1","1"
"1493","2015","Hearing","1","1","2"
"3043","2015","Hearing","2","0","2"
"1495","2015","Hearing","2","0","2"
"2431","2015","Hearing","1","0","1"
"1476","2015","Hearing","1","1","2"
"2362","2015","Hearing","2","2","4"
"1410","2015","Hearing","0","2","2"
"2383","2015","Hearing","0","2","2"
"1179","2015","Hearing","0","1","1"
"3062","2015","Hearing","2","0","2"
"1580","2015","Hearing","1","2","3"
"2631","2015","Hearing","3","8","11"
"1374","2015","Hearing","0","1","1"
"2405","2015","Hearing","2","2","4"
"1690","2015","Hearing","1","0","1"
"2468","2015","Hearing","1","0","1"
"1536","2015","Hearing","0","2","2"
"3111","2015","Hearing","1","1","2"
"1584","2015","Hearing","0","3","3"
"2697","2015","Hearing","3","0","3"
"1510","2015","Hearing","1","1","2"
"2414","2015","Hearing","0","1","1"
"1419","2015","Hearing","0","2","2"
"2703","2015","Hearing","1","1","2"
"1216","2015","Hearing","0","1","1"
"3160","2015","Hearing","0","1","1"
"1600","2015","Hearing","0","2","2"
"2722","2015","Hearing","1","0","1"
"1440","2015","Hearing","0","1","1"
"2430","2015","Hearing","3","0","3"
"1709","2015","Hearing","1","0","1"
"2786","2015","Hearing","1","0","1"
"1529","2015","Hearing","0","1","1"
"3162","2015","Hearing","2","0","2"
"1634","2015","Hearing","4","0","4"
"2815","2015","Hearing","0","1","1"
"1551","2015","Hearing","0","1","1"
"2462","2015","Hearing","3","0","3"
"1444","2015","Hearing","1","2","3"
"2833","2015","Hearing","2","0","2"
"1263","2015","Hearing","4","0","4"
"3312","2015","Hearing","0","1","1"
"1613","2015","Hearing","2","2","4"
"2824","2015","Hearing","1","0","1"
"1474","2015","Hearing","4","2","6"
"2821","2015","Hearing","1","0","1"
"1725","2015","Hearing","1","0","1"
"2869","2015","Hearing","1","1","2"
"1579","2015","Hearing","0","2","2"
"3443","2015","Hearing","1","0","1"
"1770","2015","Hearing","6","8","14"
"2922","2015","Hearing","1","0","1"
"1594","2015","Hearing","2","3","5"
"2823","2015","Hearing","1","0","1"
"1460","2015","Hearing","1","1","2"
"3051","2015","Hearing","2","0","2"
"1315","2015","Hearing","1","2","3"
"3614","2015","Hearing","0","1","1"
"1633","2015","Hearing","0","1","1"
"2947","2015","Hearing","2","2","4"
"1556","2015","Hearing","0","1","1"
"2905","2015","Hearing","2","2","4"
"1757","2015","Hearing","0","1","1"
"3053","2015","Hearing","0","1","1"
"1718","2015","Hearing","1","0","1"
"3644","2015","Hearing","0","2","2"
"1843","2015","Hearing","0","1","1"
"2856","2015","Hearing","0","1","1"
"1619","2015","Hearing","0","2","2"
"3039","2015","Hearing","1","0","1"
"1535","2015","Hearing","0","1","1"
"3069","2015","Hearing","1","0","1"
"1413","2015","Hearing","3","0","3"
"3677","2015","Hearing","4","2","6"
"1716","2015","Hearing","0","1","1"
"3040","2015","Hearing","3","3","6"
"1589","2015","Hearing","2","0","2"
"3091","2015","Hearing","2","3","5"
"1774","2015","Hearing","1","0","1"
"3152","2015","Hearing","7","2","9"
"1720","2015","Hearing","0","1","1"
"3678","2015","Hearing","0","2","2"
"1904","2015","Hearing","1","0","1"
"3108","2015","Hearing","0","1","1"
"1635","2015","Hearing","1","1","2"
"3141","2015","Hearing","2","1","3"
"1544","2015","Hearing","1","0","1"
"3169","2015","Hearing","0","2","2"
"1416","2015","Hearing","2","0","2"
"3681","2015","Hearing","4","2","6"
"1717","2015","Hearing","1","0","1"
"3122","2015","Hearing","1","0","1"
"1608","2015","Hearing","10","9","19"
"3341","2015","Hearing","0","2","2"
"1775","2015","Hearing","0","1","1"
"3219","2015","Hearing","1","1","2"
"1795","2015","Hearing","0","3","3"
"3728","2015","Hearing","6","4","10"
"1913","2015","Hearing","0","2","2"
"3156","2015","Hearing","1","0","1"
"1712","2015","Hearing","0","1","1"
"3350","2015","Hearing","1","0","1"
"1562","2015","Hearing","1","0","1"
"3268","2015","Hearing","6","3","9"
"1497","2015","Hearing","0","1","1"
"3745","2015","Hearing","0","2","2"
"1815","2015","Hearing","1","3","4"
"3206","2015","Hearing","0","1","1"
"1642","2015","Hearing","0","1","1"
"3573","2015","Hearing","0","1","1"
"1739","2015","Hearing","1","0","1"
"3402","2015","Hearing","1","0","1"
"1813","2015","Hearing","0","2","2"
"3764","2015","Hearing","0","1","1"
"1938","2015","Hearing","4","3","7"
"3406","2015","Hearing","0","1","1"
"1721","2015","Hearing","0","1","1"
"3607","2015","Hearing","1","1","2"
"1585","2015","Hearing","1","0","1"
"3438","2015","Hearing","1","0","1"
"1565","2015","Hearing","0","2","2"
"3794","2015","Hearing","1","0","1"
"1816","2015","Hearing","0","1","1"
"3540","2015","Hearing","1","0","1"
"1807","2015","Hearing","3","2","5"
"3559","2015","Hearing","1","0","1"
"1823","2015","Hearing","2","1","3"
"3670","2015","Hearing","3","0","3"
"1852","2015","Hearing","0","1","1"
"3862","2015","Hearing","3","2","5"
"1972","2015","Hearing","1","2","3"
"3601","2015","Hearing","1","0","1"
"1921","2015","Hearing","3","0","3"
"3641","2015","Hearing","0","1","1"
"1678","2015","Hearing","1","0","1"
"3672","2015","Hearing","1","0","1"
"1616","2015","Hearing","1","0","1"
"3913","2015","Hearing","0","1","1"
"1899","2015","Hearing","2","1","3"
"3608","2015","Hearing","1","0","1"
"1809","2015","Hearing","1","0","1"
"3650","2015","Hearing","1","0","1"
"1926","2015","Hearing","12","3","15"
"3688","2015","Hearing","0","1","1"
"1877","2015","Hearing","1","2","3"
"3930","2015","Hearing","1","0","1"
"2052","2015","Hearing","0","1","1"
"3701","2015","Hearing","14","10","24"
"1944","2015","Hearing","0","1","1"
"3657","2015","Hearing","1","0","1"
"1753","2015","Hearing","0","1","1"
"3854","2015","Hearing","4","5","9"
"1734","2015","Hearing","1","0","1"
"4013","2015","Hearing","4","2","6"
"1932","2015","Hearing","1","0","1"
"3740","2015","Hearing","1","0","1"
"1789","2015","Hearing","1","1","2"
"3748","2015","Hearing","1","1","2"
"1943","2015","Hearing","3","0","3"
"3870","2015","Hearing","0","1","1"
"1929","2015","Hearing","0","1","1"
"4081","2015","Hearing","0","2","2"
"2131","2015","Hearing","4","0","4"
"3749","2015","Hearing","1","0","1"
"1960","2015","Hearing","1","4","5"
"3752","2015","Hearing","0","3","3"
"1576","2015","Hearing","1","0","1"
"3937","2015","Hearing","2","1","3"
"1766","2015","Hearing","2","2","4"
"4095","2015","Hearing","1","0","1"
"2134","2015","Hearing","0","1","1"
"3767","2015","Hearing","1","0","1"
"1790","2015","Hearing","6","10","16"
"3782","2015","Hearing","1","1","2"
"1958","2015","Hearing","0","5","5"
"4007","2015","Hearing","1","0","1"
"2102","2015","Hearing","4","3","7"
"4114","2015","Hearing","1","0","1"
"2152","2015","Hearing","2","2","4"
"3817","2015","Hearing","1","1","2"
"2139","2015","Hearing","1","1","2"
"3832","2015","Hearing","1","0","1"
"1776","2015","Hearing","1","1","2"
"4138","2015","Hearing","0","3","3"
"1784","2015","Hearing","0","3","3"
"4130","2015","Hearing","1","1","2"
"2148","2015","Hearing","1","0","1"
"3842","2015","Hearing","0","1","1"
"1839","2015","Hearing","6","3","9"
"3834","2015","Hearing","1","0","1"
"2073","2015","Hearing","2","2","4"
"4140","2015","Hearing","1","1","2"
"2104","2015","Hearing","0","1","1"
"4214","2015","Hearing","0","2","2"
"2220","2015","Hearing","1","0","1"
"3844","2015","Hearing","1","0","1"
"2321","2015","Hearing","0","1","1"
"3850","2015","Hearing","0","1","1"
"1778","2015","Hearing","0","2","2"
"4121","2015","Hearing","0","3","3"
"1834","2015","Hearing","2","1","3"
"4263","2015","Hearing","1","2","3"
"2367","2015","Hearing","4","1","5"
"3892","2015","Hearing","0","3","3"
"1857","2015","Hearing","1","0","1"
"3927","2015","Hearing","1","0","1"
"2143","2015","Hearing","0","2","2"
"4205","2015","Hearing","1","0","1"
"2122","2015","Hearing","1","0","1"
"4266","2015","Hearing","5","0","5"
"2297","2015","Hearing","2","0","2"
"3976","2015","Hearing","1","0","1"
"2389","2015","Hearing","1","1","2"
"4050","2015","Hearing","4","1","5"
"1862","2015","Hearing","1","2","3"
"4307","2015","Hearing","1","1","2"
"1817","2015","Hearing","1","0","1"
"4363","2015","Hearing","1","0","1"
"2368","2015","Hearing","1","0","1"
"4001","2015","Hearing","1","0","1"
"1859","2015","Hearing","0","2","2"
"4068","2015","Hearing","1","0","1"
"2258","2015","Hearing","1","0","1"
"4290","2015","Hearing","0","2","2"
"2129","2015","Hearing","1","1","2"
"4399","2015","Hearing","2","2","4"
"2313","2015","Hearing","1","0","1"
"4067","2015","Hearing","0","1","1"
"2464","2015","Hearing","1","0","1"
"4218","2015","Hearing","0","1","1"
"1905","2015","Hearing","9","14","23"
"4321","2015","Hearing","5","10","15"
"1900","2015","Hearing","1","0","1"
"4433","2015","Hearing","1","0","1"
"2466","2015","Hearing","0","1","1"
"4074","2015","Hearing","1","0","1"
"1875","2015","Hearing","0","1","1"
"4234","2015","Hearing","0","1","1"
"2174","2015","Hearing","2","0","2"
"4340","2015","Hearing","1","0","1"
"2145","2015","Hearing","0","1","1"
"4513","2015","Hearing","5","1","6"
"2331","2015","Hearing","0","2","2"
"4103","2015","Hearing","1","2","3"
"2512","2015","Hearing","1","3","4"
"4259","2015","Hearing","0","5","5"
"2180","2015","Hearing","0","1","1"
"4355","2015","Hearing","1","0","1"
"1915","2015","Hearing","1","1","2"
"4547","2015","Hearing","4","0","4"
"2416","2015","Hearing","1","1","2"
"4151","2015","Hearing","1","0","1"
"1908","2015","Hearing","2","1","3"
"4295","2015","Hearing","2","0","2"
"2176","2015","Hearing","0","1","1"
"4404","2015","Hearing","0","2","2"
"2186","2015","Hearing","1","0","1"
"4934","2015","Hearing","1","0","1"
"2347","2015","Hearing","2","0","2"
"4217","2015","Hearing","0","1","1"
"2480","2015","Hearing","1","1","2"
"4370","2015","Hearing","0","3","3"
"2221","2015","Hearing","0","1","1"
"4522","2015","Hearing","0","1","1"
"2234","2015","Hearing","1","0","1"
"4948","2015","Hearing","1","1","2"
"2652","2015","Hearing","0","5","5"
"4258","2015","Hearing","1","0","1"
"1939","2015","Hearing","2","0","2"
"4418","2015","Hearing","0","1","1"
"2309","2015","Hearing","1","1","2"
"4556","2015","Hearing","5","5","10"
"2222","2015","Hearing","11","1","12"
"5131","2015","Hearing","0","2","2"
"2404","2015","Hearing","0","1","1"
"4308","2015","Hearing","1","0","1"
"2639","2015","Hearing","0","1","1"
"4429","2015","Hearing","0","1","1"
"2273","2015","Hearing","0","1","1"
"4608","2015","Hearing","1","1","2"
"2317","2015","Hearing","0","1","1"
"5133","2015","Hearing","1","1","2"
"2669","2015","Hearing","1","0","1"
"4310","2015","Hearing","1","0","1"
"1940","2015","Hearing","0","1","1"
"4493","2015","Hearing","1","0","1"
"2340","2015","Hearing","1","0","1"
"4791","2015","Hearing","0","1","1"
"1911","2015","Hearing","2","8","10"
"5285","2015","Hearing","0","1","1"
"2481","2015","Hearing","1","0","1"
"4312","2015","Hearing","1","3","4"
"2664","2015","Hearing","2","1","3"
"4443","2015","Hearing","4","0","4"
"2355","2015","Hearing","2","0","2"
"4907","2015","Hearing","1","0","1"
"2384","2015","Hearing","1","1","2"
"5301","2015","Hearing","1","0","1"
"2700","2015","Hearing","126","123","249"
"4292","2015","Hearing","0","4","4"
"1959","2015","Hearing","1","0","1"
"4534","2015","Hearing","1","0","1"
"2341","2015","Hearing","15","18","33"
"5040","2015","Hearing","4","0","4"
"2261","2015","Hearing","0","1","1"
"5302","2015","Hearing","1","0","1"
"2599","2015","Hearing","1","1","2"
"4378","2015","Hearing","1","1","2"
"2712","2015","Hearing","0","1","1"
"4552","2015","Hearing","2","2","4"
"2371","2015","Hearing","0","1","1"
"5106","2015","Hearing","0","1","1"
"2401","2015","Hearing","1","0","1"
"5367","2015","Hearing","0","1","1"
"2702","2015","Hearing","0","5","5"
"4394","2015","Hearing","1","3","4"
"1975","2015","Hearing","1","1","2"
"4661","2015","Hearing","1","2","3"
"2344","2015","Hearing","2","0","2"
"5142","2015","Hearing","0","1","1"
"2286","2015","Hearing","2","0","2"
"5718","2015","Hearing","1","0","1"
"2754","2015","Hearing","3","2","5"
"4417","2015","Hearing","2","0","2"
"2789","2015","Hearing","2","0","2"
"4936","2015","Hearing","3","2","5"
"2637","2015","Hearing","2","0","2"
"4959","2015","Hearing","1","6","7"
"2402","2015","Hearing","1","0","1"
"5837","2015","Hearing","1","0","1"
"2787","2015","Hearing","0","1","1"
"4444","2015","Hearing","0","1","1"
"2056","2015","Hearing","1","1","2"
"4970","2015","Hearing","0","1","1"
"2324","2015","Hearing","1","0","1"
"5193","2015","Hearing","3","2","5"
"2288","2015","Hearing","2","3","5"
